elapsed_s,method,repeat,rmse,time,timestamp
0.323611,Non-Incremental BLS,0,0.010261085373454201,0.0015688329949625768,2026-05-28 10:26:12
0.325597,Non-Incremental BLS,1,0.007334231459154584,0.0016244590005953796,2026-05-28 10:26:12
0.3273,Non-Incremental BLS,2,0.008371805588320786,0.0013931670036981814,2026-05-28 10:26:12
0.329473,Incremental BLS,0,0.010261084099011067,0.00165095799457049,2026-05-28 10:26:12
0.33124,Incremental BLS,1,0.007334232470789448,0.0013439579997793771,2026-05-28 10:26:12
0.333389,Incremental BLS,2,0.00837180506083001,0.0017408330022590235,2026-05-28 10:26:12
0.334579,Approximation Method,0,0.006962561313464867,0.0007577500000479631,2026-05-28 10:26:12
0.335911,Approximation Method,1,0.006361803146716784,0.0009554579955874942,2026-05-28 10:26:12
0.337257,Approximation Method,2,0.006180020791879776,0.0009502920001978055,2026-05-28 10:26:12
0.340104,TiBLS,0,0.010060054529639224,0.002263499998662155,2026-05-28 10:26:12
0.342577,TiBLS,1,0.007813739725763038,0.0020836670009884983,2026-05-28 10:26:12
0.344964,TiBLS,2,0.008071479248834997,0.0020624580065486953,2026-05-28 10:26:12
0.348052,RI-BLS,0,0.010261086801511115,0.002633208001498133,2026-05-28 10:26:12
0.351005,RI-BLS,1,0.0073342314427824505,0.0025102500003413297,2026-05-28 10:26:12
0.353726,RI-BLS,2,0.00837180572252399,0.002380208003160078,2026-05-28 10:26:12
0.36797,IMF-BLS (Ours),0,0.01026108604889633,0.013793416997941677,2026-05-28 10:26:12
0.381328,IMF-BLS (Ours),1,0.0073342321468170225,0.012807416002033278,2026-05-28 10:26:12
0.393997,IMF-BLS (Ours),2,0.008371807512080977,0.01217454199650092,2026-05-28 10:26:12
